Applicant_ID,Utilization_Ratio,Debt_to_Income,Checking_Account_Status,Loan_Duration,Age,Credit_History_Score,Loan_Purpose,Default_Status
119,0.7278,0.2896,1.0,12.0,53.0,0.0,Individual,0.0
120,0.2567,0.4287,0.0,24.0,49.0,0.0,MSME,0.0
121,0.1621,0.1483,0.0,12.0,33.0,0.0,MSME,0.0
122,0.1901,0.232,0.0,36.0,30.0,0.0,MSME,0.0
123,0.5395,0.1327,0.0,24.0,38.0,0.0,E-Commerce,0.0
124,0.1592,0.3389,0.0,48.0,36.0,0.0,Individual,0.0
125,0.2653,0.404,0.0,24.0,45.0,1.0,MSME,0.0
126,0.1257,0.201,0.0,36.0,24.0,1.0,MSME,0.0
127,0.6247,0.1122,0.0,24.0,59.0,0.0,MSME,0.0
128,0.1734,0.395,0.0,48.0,31.0,0.0,E-Commerce,0.0
129,0.248,0.231,0.0,48.0,46.0,1.0,Individual,0.0
130,0.5754,0.4157,0.0,12.0,39.0,0.0,Individual,0.0
131,0.6158,0.3231,0.0,48.0,40.0,0.0,E-Commerce,0.0
132,0.3542,0.3584,0.0,24.0,27.0,0.0,Individual,0.0
133,0.1053,0.1901,0.0,24.0,25.0,1.0,Individual,0.0
134,0.2996,0.1693,0.0,36.0,30.0,0.0,MSME,0.0
135,0.1128,0.3788,0.0,48.0,52.0,1.0,E-Commerce,0.0
136,0.7059,0.4268,1.0,12.0,51.0,0.0,E-Commerce,0.0
137,0.6746,0.3874,0.0,36.0,29.0,0.0,E-Commerce,0.0
138,0.6386,0.1748,0.0,24.0,25.0,0.0,Individual,0.0
139,0.6154,0.3119,0.0,12.0,47.0,1.0,Individual,0.0
140,0.5069,0.1617,0.0,48.0,34.0,0.0,MSME,0.0
141,0.3585,0.2817,0.0,12.0,44.0,0.0,Individual,0.0
142,0.3256,0.4239,0.0,12.0,58.0,0.0,MSME,0.0
143,0.5169,0.2886,0.0,36.0,56.0,0.0,Individual,0.0
144,0.6955,0.3984,0.0,24.0,35.0,1.0,Individual,0.0
145,0.7568,0.1725,1.0,36.0,22.0,1.0,E-Commerce,0.0
146,0.1337,0.4126,0.0,36.0,58.0,0.0,MSME,0.0
147,0.6776,0.1746,0.0,36.0,35.0,0.0,MSME,0.0
148,0.714,0.257,1.0,48.0,29.0,0.0,Individual,0.0
149,0.7298,0.3496,1.0,12.0,44.0,0.0,MSME,0.0
150,0.2625,0.4598,0.0,36.0,23.0,0.0,Individual,0.0
151,0.48,0.2726,0.0,36.0,28.0,1.0,E-Commerce,0.0
152,0.1975,0.4176,0.0,12.0,54.0,0.0,MSME,0.0
153,0.5012,0.4991,0.0,12.0,54.0,1.0,E-Commerce,0.0
154,0.6208,0.1134,0.0,24.0,23.0,1.0,E-Commerce,0.0
155,0.6282,0.1412,0.0,12.0,52.0,0.0,E-Commerce,0.0
156,0.1892,0.2589,0.0,12.0,29.0,0.0,Individual,0.0
157,0.3863,0.4088,0.0,36.0,52.0,0.0,E-Commerce,0.0
158,0.2763,0.2383,0.0,36.0,31.0,0.0,MSME,0.0
159,0.3806,0.2848,0.0,24.0,33.0,1.0,MSME,0.0
160,0.1706,0.2024,0.0,48.0,33.0,0.0,MSME,0.0
161,0.7457,0.3829,1.0,24.0,49.0,0.0,Individual,0.0
162,0.3969,0.3946,0.0,48.0,43.0,1.0,Individual,0.0
163,0.1793,0.4939,0.0,24.0,57.0,0.0,Individual,0.0
164,0.3325,0.2246,0.0,36.0,36.0,0.0,Individual,0.0
165,0.621,0.1822,0.0,12.0,47.0,0.0,Individual,0.0
166,0.3902,0.4454,0.0,24.0,23.0,0.0,E-Commerce,0.0
167,0.6163,0.2809,0.0,36.0,45.0,0.0,E-Commerce,0.0
168,0.1237,0.2246,0.0,12.0,43.0,0.0,MSME,0.0
169,0.5645,0.1712,0.0,48.0,41.0,0.0,MSME,0.0
170,0.7978,0.3009,1.0,12.0,53.0,0.0,E-Commerce,0.0
171,0.3988,0.4199,0.0,24.0,53.0,0.0,E-Commerce,0.0
172,0.1256,0.2888,0.0,48.0,40.0,0.0,Individual,0.0
173,0.5998,0.3111,0.0,24.0,49.0,0.0,MSME,0.0
174,0.4917,0.1621,0.0,12.0,29.0,1.0,MSME,0.0
175,0.6273,0.2089,0.0,36.0,55.0,0.0,E-Commerce,0.0
176,0.7853,0.4359,1.0,36.0,50.0,0.0,E-Commerce,0.0
177,0.2554,0.1924,0.0,36.0,29.0,0.0,Individual,0.0
178,0.4986,0.455,0.0,48.0,29.0,0.0,E-Commerce,0.0
179,0.5222,0.4227,0.0,48.0,25.0,1.0,MSME,0.0
180,0.2435,0.2173,0.0,48.0,39.0,0.0,MSME,0.0
181,0.6151,0.4393,0.0,48.0,40.0,0.0,E-Commerce,0.0
182,0.7249,0.427,1.0,48.0,32.0,0.0,MSME,0.0
183,0.3541,0.1137,0.0,48.0,26.0,0.0,MSME,0.0
184,0.3539,0.4444,0.0,36.0,43.0,1.0,MSME,0.0
185,0.7079,0.295,1.0,24.0,44.0,1.0,Individual,0.0
186,0.4393,0.305,0.0,12.0,23.0,0.0,Individual,0.0
187,0.2526,0.358,0.0,24.0,25.0,0.0,E-Commerce,0.0
188,0.2202,0.2089,0.0,36.0,27.0,1.0,Individual,0.0
189,0.6705,0.2992,0.0,24.0,38.0,0.0,Individual,0.0
190,0.6808,0.1826,0.0,24.0,43.0,0.0,MSME,0.0
191,0.2865,0.3929,0.0,24.0,33.0,0.0,Individual,0.0
192,0.2228,0.4658,0.0,24.0,42.0,0.0,Individual,0.0
193,0.3954,0.2415,0.0,24.0,22.0,0.0,MSME,0.0
194,0.2717,0.2557,0.0,48.0,32.0,0.0,E-Commerce,0.0
195,0.6051,0.3442,0.0,24.0,55.0,0.0,Individual,0.0
196,0.1945,0.2935,0.0,24.0,57.0,0.0,MSME,0.0
197,0.5166,0.1206,0.0,24.0,55.0,0.0,E-Commerce,0.0
198,0.1746,0.1301,0.0,12.0,22.0,0.0,MSME,0.0
199,0.5188,0.2839,0.0,36.0,24.0,0.0,E-Commerce,0.0
200,0.2905,0.3361,0.0,36.0,58.0,0.0,E-Commerce,0.0
201,0.7735,0.416,1.0,12.0,33.0,0.0,E-Commerce,0.0
202,0.6126,0.4226,0.0,36.0,58.0,0.0,E-Commerce,0.0
203,0.7864,0.4613,1.0,48.0,36.0,0.0,MSME,0.0
204,0.7608,0.1158,1.0,24.0,37.0,1.0,Individual,0.0
205,0.4891,0.2893,0.0,36.0,35.0,0.0,E-Commerce,0.0
206,0.3081,0.4698,0.0,24.0,44.0,1.0,E-Commerce,0.0
207,0.7034,0.4378,1.0,24.0,38.0,0.0,E-Commerce,0.0
208,0.4925,0.2924,0.0,36.0,58.0,0.0,E-Commerce,0.0
209,0.6073,0.1261,0.0,36.0,25.0,1.0,MSME,0.0
210,0.6165,0.3081,0.0,12.0,23.0,0.0,Individual,0.0
211,0.7932,0.1001,1.0,12.0,34.0,0.0,MSME,0.0
212,0.149,0.1038,0.0,12.0,50.0,0.0,E-Commerce,0.0
213,0.5065,0.2087,0.0,12.0,31.0,0.0,Individual,0.0
214,0.3949,0.395,0.0,24.0,24.0,0.0,E-Commerce,0.0
215,0.697,0.3862,0.0,12.0,46.0,0.0,MSME,0.0
216,0.7914,0.2711,1.0,12.0,45.0,0.0,Individual,0.0
217,0.765,0.4145,1.0,36.0,27.0,1.0,E-Commerce,0.0
218,0.7613,0.287,1.0,12.0,55.0,0.0,E-Commerce,0.0
219,0.3811,0.4351,0.0,24.0,31.0,0.0,E-Commerce,0.0
220,0.2543,0.1746,0.0,36.0,27.0,1.0,Individual,0.0
221,0.7784,0.4535,1.0,36.0,41.0,1.0,MSME,0.0
222,0.2822,0.3061,0.0,24.0,38.0,0.0,Individual,0.0
223,0.2571,0.1895,0.0,36.0,46.0,0.0,E-Commerce,0.0
224,0.7021,0.283,1.0,48.0,24.0,0.0,MSME,0.0
225,0.7221,0.4823,1.0,48.0,30.0,0.0,Individual,0.0
226,0.4856,0.1348,0.0,48.0,36.0,0.0,Individual,0.0
227,0.6064,0.2984,0.0,24.0,58.0,0.0,E-Commerce,0.0
228,0.7261,0.4966,1.0,24.0,53.0,0.0,Individual,0.0
229,0.6773,0.2391,0.0,24.0,48.0,1.0,E-Commerce,0.0
230,0.715,0.419,1.0,48.0,49.0,1.0,Individual,0.0
231,0.2123,0.2336,0.0,12.0,46.0,1.0,E-Commerce,0.0
232,0.5893,0.1757,0.0,12.0,52.0,1.0,E-Commerce,0.0
233,0.674,0.1915,0.0,36.0,52.0,0.0,MSME,0.0
234,0.6825,0.303,0.0,36.0,23.0,0.0,MSME,0.0
235,0.3285,0.3239,0.0,48.0,52.0,0.0,MSME,0.0
236,0.6459,0.1428,0.0,24.0,28.0,0.0,Individual,0.0
237,0.3393,0.353,0.0,24.0,58.0,0.0,MSME,0.0
238,0.7631,0.1666,1.0,48.0,43.0,1.0,MSME,0.0
239,0.3421,0.3484,0.0,36.0,39.0,1.0,MSME,0.0
240,0.7782,0.3999,1.0,36.0,33.0,0.0,E-Commerce,0.0
241,0.6751,0.2487,0.0,48.0,32.0,0.0,E-Commerce,0.0
242,0.2113,0.2874,0.0,48.0,38.0,0.0,MSME,0.0
243,0.2145,0.4179,0.0,12.0,32.0,0.0,Individual,0.0
244,0.641,0.192,0.0,36.0,48.0,1.0,MSME,0.0
245,0.2057,0.2729,0.0,12.0,37.0,1.0,MSME,0.0
246,0.6321,0.2769,0.0,36.0,22.0,0.0,MSME,0.0
247,0.261,0.1852,0.0,48.0,46.0,1.0,MSME,0.0
248,0.7051,0.2893,1.0,48.0,46.0,1.0,MSME,0.0
249,0.2076,0.2815,0.0,24.0,28.0,0.0,Individual,0.0
250,0.7383,0.487,1.0,48.0,36.0,0.0,Individual,0.0
251,0.5188,0.3429,0.0,48.0,57.0,0.0,MSME,0.0
252,0.2126,0.3606,0.0,12.0,23.0,1.0,Individual,0.0
253,0.789,0.1598,1.0,12.0,39.0,0.0,E-Commerce,0.0
254,0.436,0.34,0.0,48.0,32.0,0.0,MSME,0.0
255,0.7669,0.4631,1.0,36.0,43.0,1.0,Individual,0.0
256,0.2694,0.4947,0.0,48.0,36.0,0.0,Individual,0.0
257,0.2472,0.2384,0.0,48.0,53.0,1.0,MSME,0.0
258,0.4624,0.1351,0.0,12.0,51.0,0.0,Individual,0.0
259,0.3778,0.1531,0.0,36.0,47.0,0.0,MSME,0.0
260,0.675,0.1165,0.0,48.0,32.0,0.0,MSME,0.0
261,0.1221,0.4745,0.0,36.0,52.0,0.0,E-Commerce,0.0
262,0.7546,0.4789,1.0,48.0,41.0,0.0,MSME,0.0
263,0.4391,0.3643,0.0,48.0,25.0,0.0,E-Commerce,0.0
264,0.4166,0.3574,0.0,12.0,35.0,0.0,MSME,0.0
265,0.5153,0.3601,0.0,12.0,40.0,1.0,MSME,0.0
266,0.2275,0.4159,0.0,36.0,53.0,0.0,Individual,0.0
267,0.1146,0.3613,0.0,12.0,53.0,0.0,MSME,0.0
268,0.5552,0.1798,0.0,36.0,50.0,0.0,E-Commerce,0.0
269,0.2804,0.285,0.0,24.0,42.0,1.0,E-Commerce,0.0
270,0.6924,0.3515,0.0,48.0,41.0,0.0,Individual,0.0
271,0.7069,0.3315,1.0,48.0,55.0,0.0,MSME,0.0
272,0.5184,0.4172,0.0,36.0,33.0,0.0,MSME,0.0
273,0.5421,0.3932,0.0,36.0,47.0,1.0,MSME,0.0
274,0.2258,0.195,0.0,24.0,23.0,0.0,MSME,0.0
275,0.1484,0.2749,0.0,24.0,35.0,0.0,Individual,0.0
276,0.5638,0.1381,0.0,12.0,46.0,1.0,Individual,0.0
277,0.7006,0.1036,1.0,12.0,33.0,0.0,MSME,0.0
278,0.2659,0.1939,0.0,24.0,24.0,0.0,Individual,0.0
279,0.4141,0.3678,0.0,12.0,22.0,0.0,MSME,0.0
280,0.764,0.201,1.0,24.0,41.0,0.0,E-Commerce,0.0
281,0.6155,0.3655,0.0,12.0,49.0,1.0,E-Commerce,0.0
282,0.2441,0.1448,0.0,24.0,35.0,0.0,MSME,0.0
283,0.2618,0.1207,0.0,12.0,56.0,0.0,E-Commerce,0.0
284,0.162,0.1413,0.0,36.0,35.0,0.0,Individual,0.0
285,0.4359,0.3744,0.0,24.0,55.0,0.0,Individual,0.0
286,0.7075,0.2819,1.0,36.0,44.0,0.0,Individual,0.0
287,0.121,0.2232,0.0,48.0,29.0,1.0,E-Commerce,0.0
288,0.6116,0.1625,0.0,24.0,26.0,1.0,Individual,0.0
289,0.5848,0.4352,0.0,24.0,31.0,0.0,E-Commerce,0.0
290,0.5325,0.4476,0.0,48.0,33.0,0.0,MSME,0.0
291,0.5827,0.3706,0.0,36.0,52.0,0.0,Individual,0.0
292,0.5669,0.3309,0.0,24.0,49.0,0.0,Individual,0.0
293,0.3227,0.4466,0.0,12.0,34.0,1.0,MSME,0.0
294,0.3021,0.1436,0.0,24.0,59.0,0.0,Individual,0.0
295,0.4067,0.4606,0.0,12.0,44.0,0.0,MSME,0.0
296,0.363,0.2187,0.0,36.0,46.0,0.0,E-Commerce,0.0
297,0.3565,0.2585,0.0,12.0,40.0,0.0,Individual,0.0
298,0.5175,0.3183,0.0,36.0,59.0,0.0,Individual,0.0
299,0.2179,0.357,0.0,24.0,30.0,0.0,E-Commerce,0.0
300,0.766,0.4389,1.0,48.0,50.0,0.0,MSME,0.0
301,0.3792,0.3321,0.0,48.0,57.0,0.0,Individual,0.0
302,0.6691,0.3872,0.0,36.0,42.0,0.0,E-Commerce,0.0
303,0.7277,0.1285,1.0,36.0,46.0,0.0,E-Commerce,0.0
304,0.1422,0.4738,0.0,24.0,40.0,0.0,E-Commerce,0.0
305,0.5321,0.3092,0.0,24.0,48.0,1.0,Individual,0.0
306,0.5067,0.1359,0.0,24.0,39.0,0.0,E-Commerce,0.0
307,0.3895,0.1488,0.0,36.0,28.0,0.0,Individual,0.0
308,0.6598,0.1738,0.0,36.0,57.0,0.0,MSME,0.0
309,0.6642,0.3201,0.0,48.0,34.0,0.0,MSME,0.0
310,0.4606,0.3374,0.0,24.0,30.0,0.0,MSME,0.0
311,0.3525,0.4624,0.0,48.0,37.0,0.0,MSME,0.0
312,0.6464,0.2099,0.0,36.0,57.0,0.0,E-Commerce,0.0
313,0.6667,0.4067,0.0,24.0,54.0,0.0,MSME,0.0
314,0.2176,0.3947,0.0,24.0,54.0,0.0,Individual,0.0
315,0.2249,0.2249,0.0,36.0,49.0,0.0,Individual,0.0
316,0.2624,0.2564,0.0,12.0,46.0,1.0,E-Commerce,0.0
317,0.5179,0.3703,0.0,24.0,32.0,1.0,E-Commerce,0.0
318,0.1729,0.3897,0.0,24.0,53.0,0.0,MSME,0.0
319,0.2854,0.3581,0.0,48.0,24.0,0.0,MSME,0.0
320,0.2587,0.242,0.0,48.0,34.0,0.0,Individual,0.0
321,0.5687,0.128,0.0,48.0,42.0,0.0,MSME,0.0
322,0.5761,0.1923,0.0,24.0,24.0,0.0,MSME,0.0
323,0.7959,0.3647,1.0,12.0,56.0,1.0,MSME,0.0
324,0.3335,0.3322,0.0,24.0,57.0,1.0,MSME,0.0
325,0.583,0.1804,0.0,48.0,51.0,0.0,Individual,0.0
326,0.3106,0.4925,0.0,36.0,37.0,0.0,Individual,0.0
327,0.3795,0.161,0.0,12.0,41.0,1.0,E-Commerce,0.0
328,0.6894,0.3084,0.0,24.0,43.0,0.0,Individual,0.0
329,0.7053,0.3434,1.0,48.0,59.0,0.0,E-Commerce,0.0
330,0.1253,0.2213,0.0,24.0,23.0,0.0,Individual,0.0
331,0.7559,0.3215,1.0,36.0,24.0,0.0,MSME,0.0
332,0.7597,0.4493,1.0,24.0,56.0,1.0,E-Commerce,0.0
333,0.7945,0.4406,1.0,24.0,33.0,1.0,E-Commerce,0.0
334,0.4778,0.3512,0.0,24.0,45.0,0.0,MSME,0.0
335,0.6641,0.416,0.0,48.0,35.0,0.0,MSME,0.0
336,0.116,0.1615,0.0,36.0,39.0,1.0,Individual,0.0
337,0.5487,0.429,0.0,12.0,54.0,1.0,MSME,0.0
338,0.1974,0.4593,0.0,24.0,24.0,1.0,MSME,0.0
339,0.2025,0.247,0.0,48.0,42.0,0.0,MSME,0.0
340,0.2628,0.132,0.0,48.0,53.0,0.0,Individual,0.0
341,0.7555,0.4504,1.0,12.0,27.0,0.0,Individual,0.0
342,0.5337,0.3601,0.0,36.0,52.0,0.0,E-Commerce,0.0
343,0.2342,0.1847,0.0,24.0,32.0,1.0,E-Commerce,0.0
344,0.5865,0.4935,0.0,36.0,30.0,0.0,E-Commerce,0.0
345,0.6479,0.2062,0.0,36.0,37.0,0.0,Individual,0.0
346,0.4566,0.4987,0.0,12.0,58.0,0.0,Individual,0.0
347,0.5367,0.3108,0.0,36.0,58.0,1.0,Individual,0.0
348,0.5579,0.2417,0.0,36.0,49.0,0.0,MSME,0.0
349,0.6135,0.4077,0.0,24.0,23.0,0.0,E-Commerce,0.0
350,0.1134,0.2039,0.0,24.0,44.0,0.0,Individual,0.0
351,0.5333,0.2294,0.0,24.0,42.0,0.0,E-Commerce,0.0
352,0.7717,0.2951,1.0,36.0,32.0,0.0,Individual,0.0
353,0.2045,0.1509,0.0,24.0,39.0,0.0,E-Commerce,0.0
354,0.5299,0.4438,0.0,24.0,42.0,1.0,Individual,0.0
355,0.7687,0.4148,1.0,12.0,22.0,1.0,Individual,0.0
356,0.2956,0.4721,0.0,48.0,42.0,1.0,Individual,0.0
357,0.5615,0.458,0.0,48.0,36.0,1.0,E-Commerce,0.0
358,0.4629,0.1601,0.0,48.0,22.0,0.0,E-Commerce,0.0
359,0.1266,0.3985,0.0,12.0,45.0,0.0,Individual,0.0
360,0.7696,0.395,1.0,24.0,52.0,0.0,Individual,0.0
361,0.7795,0.4769,1.0,36.0,49.0,0.0,E-Commerce,0.0
362,0.1689,0.3641,0.0,48.0,29.0,0.0,MSME,0.0
363,0.1578,0.3059,0.0,12.0,52.0,1.0,MSME,0.0
364,0.7832,0.3669,1.0,36.0,57.0,0.0,Individual,0.0
365,0.1485,0.4839,0.0,36.0,31.0,1.0,MSME,0.0
366,0.786,0.3408,1.0,12.0,53.0,1.0,E-Commerce,0.0
367,0.1897,0.2353,0.0,48.0,39.0,0.0,MSME,0.0
368,0.3632,0.32,0.0,24.0,46.0,0.0,Individual,0.0
369,0.7498,0.3704,1.0,36.0,42.0,0.0,MSME,0.0
370,0.703,0.4386,1.0,12.0,39.0,0.0,MSME,0.0
371,0.4224,0.4368,0.0,48.0,28.0,0.0,MSME,0.0
372,0.324,0.4013,0.0,12.0,43.0,0.0,E-Commerce,0.0
373,0.2154,0.1527,0.0,36.0,48.0,1.0,Individual,0.0
374,0.4541,0.4363,0.0,12.0,43.0,0.0,E-Commerce,0.0
375,0.6204,0.3448,0.0,24.0,40.0,0.0,Individual,0.0
376,0.7113,0.3545,1.0,48.0,58.0,0.0,MSME,0.0
377,0.4906,0.4247,0.0,48.0,26.0,1.0,MSME,0.0
